titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Blind shaft,11.0,40.0,4.2,3.5
Blind Test,5.0,13.0,1.2,2.7
Body Rice,6.0,6.0,3.2,2.9
Bon voyage- Dimitri !,2.0,4.0,3.0,3.2
Boxes,21.0,60.0,2.8,2.1
Bronco Apache,2.0,84.0,4.0,3.2
Bubble,26.0,450.0,3.7,2.3
Buenos Aires 1977,20.0,128.0,2.8,3.5
Bunker Paradise,9.0,126.0,2.4,3.0
C'est pas moi- c'est l'autre,3.0,21.0,1.7,2.7
Cache-cache,16.0,36.0,3.1,2.8
Café lumière,23.0,87.0,4.0,3.6
Canailles Connection,13.0,21.0,2.9,2.9
Candy,5.0,41.0,2.8,2.8
Carancho,22.0,539.0,3.5,3.1
Carlo Giuliani- Ragazzo,8.0,5.0,3.4,3.2
Carrément à l'Ouest,19.0,27.0,3.7,2.5
Cartouches gauloises,14.0,165.0,3.1,2.8
Catch Me Daddy,12.0,25.0,3.5,3.0
Celui par qui le scandale arrive...,2.0,113.0,4.5,3.9
Cercle intime,8.0,7.0,2.9,3.2
Ces messieurs dames,6.0,71.0,4.7,3.7
Charly,17.0,45.0,3.2,3.1
Charulata,1.0,80.0,5.0,3.9
Chasse à l'homme,1.0,132.0,5.0,3.5
Chien enragé,4.0,231.0,4.8,4.1
Chouette... Un nouvel ami !,3.0,6.0,3.3,3.3
Clean,24.0,1078.0,4.6,3.1
Colonel Blimp,3.0,112.0,4.3,3.8
Comedian Harmonists,10.0,54.0,3.0,3.5
Comme des voleurs,16.0,49.0,3.3,3.0
Comme un avion,12.0,6.0,2.3,2.9
Comme un poisson hors de l'eau,5.0,60.0,3.0,2.6
Comme un torrent,6.0,147.0,3.7,4.1
Comment tuer le chien de son voisin,11.0,67.0,3.3,3.0
Computer Chess,15.0,58.0,3.2,2.5
Comrades,7.0,68.0,4.0,4.0
Contes cruels de la jeunesse,1.0,49.0,5.0,3.5
Coup de peigne,6.0,96.0,2.7,3.1
Cuba Feliz,20.0,7.0,3.5,3.0
DANCERS,13.0,37.0,2.6,3.3
Dancing in Jaffa,17.0,154.0,3.5,4.0
Dancing Queens,12.0,57.0,2.8,3.0
Dans tes bras,14.0,90.0,2.9,2.7
Dans un camion rouge,12.0,15.0,2.6,3.1
Dark summer,8.0,19.0,2.3,2.4
Darshan - l'étreinte,15.0,69.0,3.5,3.7
Dead Slow Ahead,12.0,23.0,3.8,3.1
Dear Frankie,13.0,139.0,3.5,3.9
Dear Wendy,23.0,136.0,2.4,3.2
Demain on déménage,18.0,49.0,3.4,2.6
Démocratie Année Zéro,7.0,3.0,3.1,3.1
Des idiots et des anges,18.0,145.0,3.8,3.8
Désaccord parfait,24.0,617.0,2.8,1.9
Desert Dancer,8.0,21.0,2.9,3.4
Désordres,5.0,42.0,1.8,2.8
Deux,13.0,14.0,3.2,2.7
DIG !,24.0,341.0,4.3,3.4
Dis Maîtresse !,4.0,12.0,2.5,3.2
Donner / Recevoir,6.0,14.0,2.3,3.2
Duch- le maître des forges de l'enfer,16.0,71.0,4.5,3.5
Ecoute le temps,14.0,95.0,2.4,2.6
Edy,21.0,149.0,2.8,2.6
El Bulli,13.0,14.0,2.6,3.3
El Custodio (le garde du corps),17.0,57.0,3.6,2.7
El Evangelio de la carne,5.0,3.0,2.6,3.0
El Limpiador,13.0,19.0,3.7,3.3
El premio,8.0,22.0,3.6,3.0
Electrick Children,13.0,109.0,2.6,3.7
Elektro Mathematrix,8.0,33.0,3.1,3.0
En attendant le déluge,16.0,6.0,2.4,3.1
En ville,10.0,47.0,2.2,2.3
Entre nos mains,15.0,115.0,3.7,3.0
Errance,5.0,31.0,2.8,2.3
Et puis les touristes,16.0,131.0,3.6,3.4
Ex Drummer,2.0,104.0,4.0,3.6
Faites comme si je n'étais pas là,16.0,24.0,3.0,2.8
Fat Albert,8.0,60.0,2.1,2.2
Fausta,18.0,113.0,3.6,3.6
Faut que ça danse !,20.0,444.0,3.8,1.7
Femmes entre elles,5.0,38.0,4.2,3.4
Ferda la fourmi,5.0,3.0,3.4,3.2
Fixeur,15.0,25.0,3.0,3.2
Fool Moon,8.0,270.0,2.5,2.6
Fort Buchanan,12.0,16.0,2.9,2.7
Fortapàsc,14.0,77.0,3.1,3.2
Fortress 2 : reincarceration,4.0,142.0,2.3,1.6
Français pour débutant,5.0,6.0,1.6,3.0
Franck Spadone,1.0,9.0,2.0,2.6
Furie,3.0,348.0,5.0,3.8
Gigola,12.0,65.0,1.5,2.4
Girls in America,20.0,194.0,3.2,3.5
Guernesey,15.0,10.0,3.7,2.8
H H H- portrait de Hou Hsiao-Hsien,8.0,5.0,3.9,3.0
Hae anseon,14.0,255.0,3.7,3.0
Happy Accidents,10.0,91.0,3.1,3.9
Heart of a Lion,7.0,25.0,2.6,3.2
Hector,16.0,84.0,3.3,3.8
Hedwig and the Angry Inch,14.0,287.0,3.6,3.6
Heinrich Himmler - The Decent one,11.0,30.0,3.2,3.2
Hemel,10.0,11.0,2.9,3.1
Himizu,1.0,88.0,5.0,3.8
Hombre,2.0,116.0,4.5,3.6
Hôtel Paradiso- une maison sérieuse,7.0,30.0,2.4,3.4
Hygiene de l'assassin,9.0,5.0,2.3,2.8
Hyper Noël,8.0,250.0,3.0,3.1
Hypnotic,14.0,338.0,3.1,2.1
I Don't Want to Sleep Alone,17.0,92.0,3.6,3.3
I Feel Good !,18.0,306.0,4.0,3.8
Il était une foi,8.0,7.0,3.6,3.0
Il était une fois un meurtre,16.0,82.0,2.9,3.4
Il Giovane Favoloso,15.0,85.0,3.7,3.6
Il va pleuvoir sur Conakry,11.0,9.0,3.2,3.0
Imposture,18.0,215.0,3.4,2.5
In Extremis,3.0,25.0,3.0,3.3
Innocence,7.0,15.0,3.7,2.3
Intervention divine,21.0,133.0,4.6,3.0
Inupiluk + Le film que nous tournerons au Groenland,11.0,21.0,3.0,3.3
J'veux pas que tu t'en ailles,17.0,611.0,2.4,1.8
Jardinage à l'anglaise,9.0,111.0,2.6,3.2
Je ne vous oublierai jamais,13.0,8.0,2.1,2.9
Je règle mon pas sur le pas de mon père,12.0,226.0,3.3,3.0
Je suis le peuple,11.0,57.0,3.8,3.9
Je suis supporter du Standard,8.0,271.0,2.5,2.7
Je suis un no man's land,23.0,191.0,3.0,2.1
Je t'aime... moi non plus,10.0,8.0,2.7,3.0
Jeux d'été,1.0,55.0,5.0,3.6
Jig,9.0,14.0,2.6,3.1
Joies matrimoniales,1.0,112.0,3.0,2.9
Jonas Brothers : le concert événement 3D,1.0,65.0,1.0,2.6
Jours d'hiver,10.0,19.0,3.6,3.3
Juliette des esprits,1.0,106.0,4.0,3.7
Jusqu'au cou,3.0,108.0,2.7,2.8
Kalo Pothi- un village au Népal,8.0,13.0,3.3,3.4
Kamikaze girls,16.0,231.0,2.8,3.1
Kandahar,14.0,27.0,3.4,2.9
Kedma,18.0,26.0,4.1,2.8
Keep Smiling,11.0,164.0,3.5,3.5
Kié la petite peste,18.0,121.0,3.7,3.5
Kinatay,20.0,149.0,3.7,2.1
Kinshasa Symphony,6.0,27.0,3.2,3.5
Kommunalka,6.0,11.0,3.7,3.1
Krampack,13.0,58.0,3.6,2.9
Kurt Cobain : About A Son,12.0,67.0,3.7,3.9
L'Amour caché,10.0,57.0,2.5,2.5
L'Anglais,16.0,300.0,3.8,3.0
L'Anglaise et le Duc,15.0,81.0,4.3,3.3
L'Année suivante,17.0,98.0,3.4,2.5
L'Antiquaire,12.0,57.0,2.6,3.2
L'Apprenti Père Noël et le flocon magique,8.0,172.0,3.0,3.4
L'Art de la pensée négative,16.0,110.0,3.7,3.7
L'Artiste,9.0,23.0,3.6,3.1
L'Echappée- à la poursuite dAnnie Le Brun,6.0,2.0,3.2,3.1
L'Enfant massacre,1.0,106.0,5.0,3.6
L'Enfant-cheval,14.0,14.0,3.0,2.8
L'Escale,17.0,53.0,4.2,2.9
L'Héritage,15.0,31.0,3.2,2.9
L'Homme aux serpents,6.0,107.0,3.5,4.0
L'Homme de Londres,18.0,78.0,3.3,2.9
L'Homme de ma vie,6.0,5.0,2.2,2.9
L'Iceberg,19.0,192.0,3.9,3.4
L'idole,10.0,16.0,2.5,2.9
L'Ile,14.0,263.0,3.6,3.1
L'Ile au trésor,1.0,52.0,3.0,3.7
L'Inconnu,2.0,132.0,5.0,4.1
L'Obscénite et la fureur,17.0,38.0,3.6,3.6
L'Odorat,6.0,13.0,3.0,3.3
L'Oeuf du serpent,1.0,120.0,4.0,3.9
L'Ultima Spiaggia,13.0,16.0,3.4,3.2
L'Ultimatum des trois mercenaires,8.0,44.0,4.3,3.7
L'uomo in più (L'homme en plus),12.0,25.0,3.3,2.9
La Baie Sanglante,1.0,137.0,3.0,2.7
La Belle jeunesse,17.0,39.0,3.2,2.8
La Bostella,14.0,126.0,3.1,2.9
La Camara Oscura,9.0,33.0,2.8,3.2
La Capture,16.0,33.0,2.9,2.8
La Chance de ma vie,11.0,18.0,3.3,3.3
La Cinquième Saison,10.0,124.0,3.9,2.7
La citadelle assiégée,14.0,346.0,3.4,3.0
La Danse- le ballet de l'Opéra de Paris,18.0,118.0,3.8,3.3
La Débandade,15.0,64.0,2.9,2.1
La Femme au portrait,1.0,232.0,5.0,4.0
La Femme de compagnie,9.0,19.0,2.9,2.9
La Femme de Seisaku,8.0,26.0,4.9,3.6
La Fête du feu,13.0,157.0,3.5,3.8
La Fièvre des Particules,7.0,37.0,3.4,3.6
La Forteresse suspendue,12.0,17.0,3.3,3.4
La Jouissance des hysteriques,7.0,3.0,2.4,2.9
La Langue des papillons,15.0,111.0,2.9,3.4
La Loi du milieu,3.0,200.0,4.7,3.7
La Mémoire du tueur,17.0,224.0,3.2,3.0
La montagne magique,9.0,19.0,3.9,3.0
La Mort de Dante Lazarescu,23.0,92.0,3.7,3.6
La Nuit Nomade,14.0,32.0,3.6,3.6
La Part du Feu,7.0,6.0,3.1,3.3
La Pecora nera,19.0,37.0,3.2,3.0
La petite fabrique du monde,3.0,11.0,2.7,3.3
La Petite prairie aux bouleaux,14.0,10.0,3.4,2.9
La Piste,16.0,85.0,2.2,2.3
La Planète des vampires,4.0,100.0,4.0,2.7
La Porte d'Anna,5.0,20.0,3.2,3.6
La Porte du soleil,11.0,18.0,4.0,2.9
La Preuve,7.0,8.0,3.0,3.2
La Prima Linea,18.0,65.0,3.1,3.1
La Puce,12.0,17.0,3.8,2.7
La Repentie,21.0,61.0,2.7,2.4
La Saison des Hommes,20.0,14.0,3.6,3.4
La Squale,18.0,146.0,2.9,2.6
La Terre abandonnée,17.0,19.0,3.4,2.8
La Terre de la folie,14.0,44.0,4.2,3.1
La Terre éphémère,16.0,127.0,3.7,3.9
La Trahison,24.0,98.0,3.6,2.5
La Véritable histoire du Chat botté,18.0,452.0,2.2,2.0
La Vie au ranch,23.0,343.0,3.3,1.8
La Vie sauvage des animaux domestiques,10.0,48.0,2.4,3.0
La voix de lombre,1.0,6.0,1.0,3.0
Lady Chance,14.0,317.0,3.9,2.7
Le Battement d'ailes du papillon,21.0,78.0,3.2,2.9
Le Bel Antonio,1.0,87.0,4.0,3.4
Le Braqueur - la dernière course,18.0,218.0,3.8,3.2
Le Caméraman,4.0,344.0,5.0,3.8
Le Candidat,24.0,427.0,3.3,2.0
Le Cardinal,1.0,36.0,4.0,3.5
Le Centre du monde,11.0,28.0,2.5,2.7
Le Chant du merle,13.0,24.0,3.4,3.5
Le Chanteur de jazz,3.0,95.0,2.3,3.2
Le Château des singes,6.0,136.0,3.8,3.6
Le Chemin,10.0,19.0,2.4,3.2
Le Coeur a ses raisons,14.0,100.0,3.1,3.5
Le Corps sublimé,4.0,10.0,3.3,3.1
Le Crime du père Amaro,9.0,98.0,2.9,3.5
Le Crime du sommelier,10.0,14.0,2.5,2.8
Le Dernier week-end,6.0,3.0,2.0,3.1
Le diable au corps,1.0,107.0,4.0,3.7
Le Diable dans la peau,12.0,17.0,3.4,3.6
Le Doux amour des hommes,18.0,11.0,3.4,2.7
Le Fantôme d'Henri Langlois,15.0,14.0,3.7,3.4
Le Faussaire,3.0,26.0,3.7,3.7
Le fils du Français,9.0,77.0,2.6,2.2
Le Grand Retournement,14.0,99.0,3.2,3.0
Le Jour où le cochon est tombé dans le puits,11.0,27.0,3.8,3.4
Le Monde de Fred,10.0,16.0,2.8,3.0
Le Monde Doit M'Arriver (?),5.0,51.0,1.6,4.0
Le nouveau Jean-Claude,16.0,94.0,2.5,3.0
Le Passage du milieu,11.0,3.0,3.3,3.0
Le Petit fugitif,11.0,131.0,4.8,3.9
Le Policier,18.0,163.0,3.7,2.9
Le Président,14.0,72.0,2.8,3.6
Le Prestige de la mort,11.0,35.0,3.7,3.0
Le Prince de Hombourg,6.0,32.0,3.7,3.4
Le Prisonnier du Caucase,20.0,43.0,4.2,3.8
Le Prof,13.0,27.0,2.5,2.6
Le Roi et le clown,15.0,122.0,3.4,3.8
Le Secret de l'enfant fourmi,10.0,86.0,2.8,3.5
Le Secret de la pierre de lune,7.0,6.0,3.0,3.3
Le Soleil assassiné,11.0,23.0,3.7,3.5
Le Temps d'un regard,9.0,5.0,2.6,2.9
Le Temps dure longtemps,7.0,19.0,3.4,3.0
Le Temps qu'il reste,19.0,480.0,4.1,2.9
Le Vieux jardin,23.0,287.0,4.0,2.8
Le Voyage de Felicia,17.0,49.0,3.5,3.5
Leonera,25.0,281.0,3.8,3.6
Les Aiguilleurs,9.0,91.0,2.9,2.4
Les Ailes pourpres : le mystère des flamants,16.0,206.0,3.6,3.1
Les Amants électriques,15.0,93.0,3.8,3.4
Les Amitiés maléfiques,25.0,323.0,3.4,2.3
Les Aventures du prince Ahmed,5.0,56.0,4.4,3.7
Les Bienfaits de la colère,15.0,592.0,3.5,2.7
Les Chiens errants,22.0,121.0,3.5,3.1
Les Climats,24.0,366.0,4.1,2.6
Les Colts de l'or noir,3.0,15.0,1.7,3.1
Les Derniers jours du disco,7.0,63.0,3.3,3.0
Les Dollars des sables,10.0,10.0,3.2,2.9
Les éléphants,8.0,25.0,2.1,3.7
Les Enfants du ciel,12.0,29.0,3.8,3.5
Les Equilibristes,15.0,101.0,3.0,3.6
Les femmes de Visegrad,13.0,32.0,3.2,3.1
Les Fils du Vent,10.0,180.0,3.3,4.1
Les Folies de Margaret,4.0,2.0,2.0,2.9
Les Fraises sauvages,5.0,588.0,4.6,3.8
Les gens qui s'aiment,12.0,6.0,2.7,2.7
Les Jours venus,14.0,103.0,3.4,2.0
Les Lendemains,13.0,60.0,2.7,3.4
Les Lumières du faubourg,24.0,167.0,3.6,2.8
Les Mains libres,22.0,128.0,3.8,3.4
Les Misérables - Une tempête sous un crâne,1.0,39.0,5.0,3.9
Les Mots retrouvés,18.0,75.0,1.7,2.1
Les Mouvements du bassin,15.0,63.0,2.4,2.1
Les Nouvelles aventures de Gros-Pois et Petit-point,6.0,12.0,3.5,3.0
Les Nuits de Cabiria,2.0,165.0,4.5,4.2
Les Opportunistes,4.0,13.0,3.0,2.8
Les Optimistes,18.0,72.0,3.6,4.0
Les Percutés,9.0,27.0,2.7,3.0
Les Pieds sur terre,12.0,42.0,2.3,3.3
Les Ponts de Sarajevo,11.0,10.0,2.9,2.9
Les Producteurs,1.0,114.0,4.0,3.7
Les Razmoket- le film,8.0,205.0,3.4,3.5
Les Rêves dansants- sur les pas de Pina Bausch,18.0,444.0,3.8,3.9
Les Trois vies de Rita Vogt,19.0,24.0,3.5,3.0
Let's Make Money,17.0,233.0,3.5,3.3
Libero,22.0,1047.0,4.2,3.6
Libres comme le vent,15.0,6.0,3.6,3.1
Lifeboat,2.0,203.0,5.0,3.7
Lisa,10.0,45.0,3.6,2.6
Long way home,16.0,181.0,4.0,3.3
Looking for Jimmy,9.0,6.0,2.8,3.1
Los hongos,16.0,74.0,3.3,3.6
Love Is the Devil,4.0,27.0,3.3,3.2
Lovely Rita Sainte Patronne des cas désespérés,4.0,94.0,2.0,1.7
Low Life,13.0,30.0,2.6,2.6
Lumière silencieuse,19.0,116.0,3.6,3.2
Ma mère préfère les femmes (surtout les jeunes...),9.0,22.0,3.2,3.1
Mafia Blues 2 - la rechute,17.0,2091.0,3.0,2.2
Maine Océan,1.0,71.0,5.0,3.2
Major Dundee,3.0,158.0,3.7,3.2
Mala noche,19.0,296.0,4.3,2.9
Mariage à l'anglaise,7.0,21.0,3.4,3.5
Marina Abramovic: The Artist Is Present,13.0,74.0,3.2,3.8
Marty,1.0,49.0,3.0,3.4
Mate-me Por Favor,15.0,38.0,3.4,3.3
Mateo Falcone,11.0,4.0,3.4,3.1
Maurice Pialat- l'amour existe,9.0,15.0,4.4,3.3
Maya,9.0,3.0,2.8,3.0
McDull dans les nuages,12.0,17.0,3.9,3.0
Mediterranea,16.0,75.0,3.3,3.3
Memento mori,18.0,113.0,3.4,3.5
Mercuriales,16.0,95.0,3.8,2.5
Metal : voyage au coeur de la bête,14.0,264.0,3.2,3.6
Micmac Masters,3.0,12.0,2.7,3.4
Mille Soleils,12.0,28.0,4.2,3.4
Mobile Étoile,13.0,23.0,3.2,3.2
Moi- la finance et le développement durable,7.0,16.0,2.4,3.4
Molière,1.0,223.0,5.0,3.8
Mon chien Skip,10.0,67.0,2.9,3.5
Mon père est ingénieur,15.0,60.0,3.3,2.7
Montanha,11.0,18.0,3.1,3.2
Motown : la véritable histoire,15.0,30.0,3.9,3.5
Mrs. Tingle,12.0,698.0,2.9,1.9
My architect,11.0,20.0,4.3,3.5
My Joy,18.0,68.0,3.1,2.9
Nana,17.0,48.0,3.2,2.5
Naomi,17.0,34.0,2.9,3.0
Ne fais pas ça,16.0,14.0,3.3,2.6
Neil Young : Heart of Gold,18.0,42.0,4.0,3.8
Nino une adolescence imaginaire de Nino Ferrer,14.0,50.0,3.3,2.9
Ninotchka,1.0,325.0,5.0,3.7
No Pasaran,11.0,101.0,2.5,3.3
Noise,5.0,34.0,1.8,2.6
Nos vies heureuses,18.0,41.0,3.6,3.5
Notre pain quotidien,10.0,335.0,4.7,3.0
Nous- princesses de Clèves,17.0,66.0,3.7,2.7
Nouveau Souffle,14.0,61.0,3.5,3.8
Nouvel ordre mondial (quelque part en Afrique),14.0,1.0,3.6,3.1
Nouvelle donne,19.0,86.0,3.2,3.6
Nuit bleue,9.0,16.0,2.7,2.9
Nuit de chien,12.0,33.0,3.0,2.3
Nuits d'ivresse printanière,22.0,208.0,3.4,2.8
Number One,10.0,24.0,2.6,3.3
Nurse Betty,21.0,377.0,3.4,2.5
Old Joy,15.0,128.0,3.7,3.3
On the Job,2.0,10.0,4.0,3.2
One plus one / Sympathy for the devil,4.0,114.0,4.3,3.0
Opening Night,1.0,372.0,5.0,3.7
Origine contrôlée,14.0,9.0,3.1,3.1
Où va la nuit,19.0,329.0,3.2,3.1
Padre Nuestro,12.0,30.0,3.6,3.3
Palace,9.0,8.0,3.2,2.8
Palma Real Motel,13.0,53.0,3.3,3.3
Papa vient dimanche,14.0,22.0,3.5,3.6
Paria,20.0,8.0,3.5,3.1
Parking,12.0,49.0,3.4,3.1
Pas d'orchidées pour Miss Blandish,1.0,30.0,5.0,3.5
Pas Douce,18.0,40.0,3.6,3.1
Pauline et François,16.0,98.0,2.9,2.5
Peau de cochon,18.0,59.0,3.7,3.2
Peau neuve,13.0,16.0,3.8,3.2
Pecker,10.0,147.0,3.8,3.2
People Jet Set 2,5.0,2745.0,2.6,1.0
Peppermint Candy,16.0,111.0,4.0,3.7
Père- fils,13.0,26.0,3.8,3.5
Petits Frères,11.0,55.0,3.9,2.8
Pleasant days,13.0,15.0,2.7,2.7
Plot for Peace,9.0,8.0,3.2,2.5
Plume et l'île mystérieuse,10.0,23.0,3.8,3.1
Plus tard tu comprendras (TV),16.0,80.0,3.7,2.3
Poétique du cerveau,7.0,6.0,3.6,3.2
Pokémon : Le Sort des Zarbi,5.0,217.0,2.6,2.8
Pourquoi (pas) le Brésil,16.0,31.0,3.8,2.6
Prince of Texas,17.0,332.0,3.5,3.1
Prince Valiant,1.0,64.0,4.0,3.2
Princess,3.0,4.0,2.3,3.2
Princesses,18.0,12.0,2.7,3.1
Propriété interdite,22.0,226.0,2.9,1.5
Quand je ne dors pas,10.0,43.0,3.2,3.8
Quand la mer monte,14.0,888.0,4.2,2.8
Quatre nuits avec Anna,23.0,162.0,4.4,3.1
Que viva Eisenstein !,20.0,72.0,3.2,2.8
Question de coeur,11.0,68.0,2.7,3.6
Qui plume la lune ?,16.0,36.0,3.9,3.4
Rabia,23.0,213.0,3.4,2.9
Rachel,14.0,16.0,3.5,3.2
Reaching for the Moon,11.0,54.0,3.0,3.7
Recto / verso,5.0,35.0,3.0,2.3
Règlement de comptes,1.0,247.0,5.0,4.1
Réincarnation,10.0,140.0,3.1,2.5
Rendez-vous,1.0,458.0,4.0,4.0
Rendez-vous à Kiruna,14.0,201.0,3.1,2.5
René,17.0,16.0,3.6,2.7
Requiem,9.0,42.0,2.6,2.4
Retour à Kotelnitch,18.0,31.0,4.3,3.6
Retour à la vie,9.0,15.0,2.0,3.5
Retour en Normandie,14.0,30.0,3.4,3.4
Rien à faire,20.0,32.0,3.7,3.5
Ring 2,19.0,831.0,3.1,1.9
Rio Sex Comedy,21.0,94.0,2.6,2.7
Rose et Cassandra,11.0,43.0,2.5,3.6
Rouge comme le ciel,11.0,56.0,2.7,3.7
Rude Boy Story,3.0,31.0,3.7,3.6
Sâdhu,8.0,32.0,3.0,3.6
Salafistes,9.0,58.0,3.0,3.3
Salvador Allende,19.0,126.0,4.1,3.8
Sans plomb,11.0,8.0,2.5,2.6
Sarah préfère la course,11.0,92.0,3.4,3.0
Scar 3D,2.0,156.0,2.0,1.7
Séquences et conséquences,21.0,33.0,3.4,2.7
Shiri,9.0,107.0,2.7,3.1
Shop Girl,5.0,80.0,1.6,2.4
Shower,17.0,30.0,3.2,3.7
Sleep Dealer,11.0,170.0,3.0,2.8
Somers Town,17.0,119.0,3.4,3.5
Sonia Horowitz- l'insoumise,10.0,14.0,3.7,3.1
Sparrow,24.0,369.0,3.8,3.0
Still Crazy: De retour pour mettre le feu,4.0,60.0,2.8,3.8
Stories We Tell,18.0,74.0,3.8,3.4
Suneung,9.0,101.0,3.0,3.1
Sur la planche,18.0,124.0,3.9,3.1
Syndromes and a Century,15.0,99.0,3.9,3.6
Tableau de famille,12.0,53.0,3.1,3.5
Takeshis',18.0,193.0,3.0,2.8
Taklub,15.0,13.0,3.4,3.3
Téhéran,24.0,87.0,3.8,3.8
Ten,18.0,120.0,4.1,3.4
Terre des Ours,13.0,236.0,2.9,3.3
The End of the Line - Locéan en voie dépuisement,1.0,10.0,3.0,3.3
The Future,16.0,108.0,2.8,2.5
The Hunter,18.0,97.0,3.7,2.9
The Take,15.0,32.0,3.8,3.5
Tom le cancre,5.0,6.0,3.0,3.0
Torch Song Trilogy,1.0,95.0,4.0,3.9
Total Khéops,14.0,26.0,2.9,2.4
Tournage dans un jardin anglais,24.0,443.0,4.0,2.3
Tous au Larzac,19.0,471.0,4.1,3.9
Toute l'histoire de mes échecs sexuels,13.0,435.0,3.3,3.0
Triangle,21.0,348.0,3.2,2.6
Trois Anglaises en campagne,4.0,10.0,2.0,3.1
Trois femmes,1.0,73.0,5.0,4.0
Trois Huit,18.0,64.0,3.9,3.5
Trop jeunes pour mourir,14.0,11.0,3.1,2.8
Trop- c'est trop !,10.0,60.0,2.3,2.4
Tropical Malady,31.0,237.0,3.6,3.4
Trouble,23.0,123.0,2.6,2.4
Tsar,19.0,190.0,3.7,3.5
Turning Gate,19.0,45.0,4.2,3.3
Ultimo Elvis,19.0,68.0,3.6,3.2
Ultranova,15.0,55.0,3.7,3.1
Umberto D.,2.0,140.0,4.5,4.1
Un chic type,17.0,99.0,2.9,3.4
Un Coeur ailleurs,11.0,9.0,3.0,3.2
Un conte d'été polonais,17.0,70.0,3.6,3.7
Un coup d'enfer,5.0,47.0,3.0,2.8
Un couple parfait,21.0,67.0,3.8,2.7
Un Homme à femmes,11.0,9.0,2.4,2.8
Un Jeune Poète,12.0,51.0,3.5,3.4
Un mois en Thaïlande,13.0,19.0,3.2,2.6
Un moment de bonheur,16.0,21.0,3.1,2.5
Un monde à nous,15.0,286.0,3.3,3.1
Un Noël de folie !,6.0,121.0,2.0,2.1
Un nom pour un autre,18.0,125.0,3.0,3.6
Un pur moment de rock'n roll,13.0,36.0,2.7,2.6
Un Vrai bonheur,13.0,60.0,2.6,3.0
Un Week-end en famille,13.0,43.0,3.2,3.0
Une Blonde en cavale,7.0,22.0,2.4,2.4
Une chanson dans la tête,10.0,42.0,2.5,2.8
Une Famille allemande,12.0,17.0,2.6,3.2
Une histoire du tango,4.0,3.0,3.3,3.1
Une Poule- un train et quelques monstres,2.0,25.0,4.0,3.3
Une trop bruyante solitude,8.0,1.0,2.1,3.0
Uzak,22.0,216.0,4.0,3.2
Va- petite !,10.0,6.0,2.9,3.3
Vendredi ou un autre jour,16.0,10.0,3.1,2.5
Vendues,9.0,4.0,2.3,3.0
Vengeance secrète,6.0,39.0,2.3,2.4
Vénus et Fleur,17.0,90.0,3.6,2.8
Venus in Furs,3.0,3.0,2.0,2.9
Vera Drake,27.0,345.0,4.0,3.0
Vertiges de l'amour,15.0,33.0,2.9,2.6
Violeta,16.0,120.0,3.3,3.9
Virtual Sexuality,6.0,5.0,2.2,3.0
Vive nous !,13.0,19.0,2.2,2.3
Vivre dans la peur,1.0,76.0,5.0,3.7
Voix off,11.0,28.0,2.9,2.9
Voleurs de chevaux,13.0,63.0,2.8,3.0
Voyous- voyelles,13.0,20.0,2.9,3.1
Wedding Doll,11.0,16.0,3.4,3.4
Whisky Romeo Zulu,18.0,59.0,3.7,3.5
White Lightnin',14.0,112.0,3.1,3.6
Woody Allen: A Documentary,17.0,234.0,2.9,3.0
Worms,4.0,5.0,2.5,3.0
Wu ji- la légende des cavaliers du vent,25.0,732.0,2.4,2.2
Zaïna- cavalière de l'Atlas,20.0,91.0,3.2,3.1
Zéro deux,6.0,8.0,3.0,2.9
Zéro un,9.0,7.0,3.4,3.0
Zim and co.,16.0,197.0,3.6,2.6
Zoom,7.0,12.0,2.6,3.4
"""Le Voyage extraordinaire"" suivi de ""Le Voyage dans la lune""",10.0,114.0,4.0,4.0
11 fleurs,17.0,145.0,3.4,3.6
13th French Street,7.0,34.0,2.3,2.8
14 kilomètres,8.0,9.0,2.8,3.2
24 City,21.0,94.0,3.9,3.6
24 mesures,18.0,113.0,3.0,2.0
2ème quinzaine de juillet,4.0,14.0,2.5,2.4
300 Hommes,15.0,38.0,3.8,3.7
5 Caméras Brisées,14.0,108.0,3.9,3.9
600 euros,7.0,15.0,3.1,3.1
9mm,7.0,9.0,2.1,3.0
A cause d'un assassinat,1.0,142.0,4.0,3.3
A l'Est de moi,8.0,13.0,2.9,2.9
A la recherche de Mister Goodbar,3.0,72.0,4.7,3.6
Abluka - Suspicions,10.0,17.0,3.0,3.1
Absence,5.0,5.0,3.4,3.2
Afectados (Rester debout),9.0,4.0,3.3,2.9
Aladin et la lampe merveilleuse,1.0,13.0,4.0,3.2
Alexandre Tharaud  Le temps dérobé,3.0,12.0,3.3,3.2
All About Sex,6.0,4.0,2.5,2.9
All Good Children,9.0,46.0,2.4,3.0
Alphabet,13.0,24.0,3.2,3.3
Amador,16.0,79.0,3.1,3.6
American Dreamz,22.0,1185.0,3.3,2.1
Amerrika,22.0,470.0,3.5,3.7
Amorosa Soledad,12.0,40.0,3.1,3.0
Amour d'enfance,13.0,13.0,3.7,3.2
Amours salées et plaisirs sucrés,7.0,20.0,2.3,2.8
Amours suspectes,5.0,62.0,2.4,3.2
Amy,11.0,16.0,3.4,3.2
Ana Arabia,15.0,84.0,3.4,2.4
André le Magnifique,10.0,18.0,3.7,3.3
