titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Faut pas lui dire,8.0,762.0,2.9,3.0
Resident Evil : Chapitre Final,14.0,1597.0,2.2,2.5
Rodin,21.0,590.0,3.7,2.0
Django,23.0,757.0,3.0,3.5
Aux yeux de tous,13.0,598.0,2.5,3.2
Les Huit salopards,35.0,12951.0,3.3,4.1
Une merveilleuse histoire du temps,27.0,5578.0,3.3,4.3
Avatar,30.0,81822.0,4.3,4.3
Sex Friends,16.0,7089.0,2.3,2.9
Intouchables,28.0,71488.0,3.7,4.5
Juillet Août,20.0,381.0,2.7,2.5
The Program,25.0,1394.0,3.6,3.5
Le Dernier pub avant la fin du monde,16.0,4621.0,3.2,3.5
The Last Face,17.0,310.0,1.1,2.3
L'Outsider,28.0,2048.0,3.5,4.0
Mad Max: Fury Road,25.0,18322.0,4.4,4.2
Into the Wild,25.0,41405.0,3.9,4.3
Snatch,12.0,30919.0,3.7,4.2
Usual Suspects,5.0,39565.0,4.6,4.4
The Big Short : le Casse du siècle,24.0,5929.0,3.5,3.6
Arès,14.0,648.0,3.1,3.6
Babysitting 2,17.0,6698.0,2.2,3.7
American Honey,35.0,467.0,3.0,3.9
Corniche Kennedy,28.0,269.0,3.4,3.2
Jackie,32.0,2196.0,4.0,3.0
Ana- mon amour,15.0,30.0,3.2,3.3
L'Odyssée,33.0,3006.0,3.4,4.0
Gladiator,24.0,68888.0,4.3,4.5
Morgane,16.0,771.0,2.3,2.6
Pulp Fiction,9.0,69445.0,4.2,4.5
Vice Versa,34.0,15216.0,4.7,4.4
Invincible,21.0,4828.0,3.0,4.1
Iris,18.0,918.0,2.6,2.9
Sherlock Holmes,27.0,33339.0,3.2,3.9
Fleur de Tonnerre,19.0,218.0,2.5,3.1
Inglourious Basterds,23.0,47729.0,3.7,4.3
Requiem for a Dream,18.0,39132.0,4.0,4.2
Il était temps,19.0,4950.0,3.2,4.2
Les Visiteurs - La Révolution,16.0,5208.0,2.0,1.7
Il faut sauver le soldat Ryan,5.0,45552.0,3.0,4.3
Trainspotting,5.0,23427.0,3.4,4.1
Old Boy,28.0,17151.0,4.0,4.2
Un homme à la hauteur,21.0,3013.0,2.8,3.2
Mal de Pierres,30.0,1602.0,3.5,3.6
Millenium : Les hommes qui naimaient pas les femmes,26.0,10311.0,3.8,4.1
Julieta,29.0,2717.0,4.4,4.1
Ex Machina,24.0,4871.0,3.3,3.9
Chloe,21.0,1869.0,2.9,2.8
Mulholland Drive,19.0,15674.0,4.7,3.9
La Liste de Schindler,5.0,41218.0,4.2,4.5
Sicario,35.0,6266.0,4.0,3.9
À mon âge je me cache encore pour fumer,11.0,239.0,3.3,4.2
A 14 ans,14.0,286.0,3.4,1.6
À la poursuite de demain,22.0,5916.0,3.2,3.3
Much Loved,25.0,1341.0,4.0,3.5
The Grand Budapest Hotel,34.0,14208.0,4.5,4.2
Le Jour où la Terre s'arrêta,1.0,854.0,4.0,3.5
Patagonia- el invierno,14.0,22.0,3.3,3.3
Transcendance,16.0,6706.0,2.1,2.8
Une vie entre deux océans,18.0,936.0,3.1,4.0
Harry- un ami qui vous veut du bien,21.0,115090.0,4.4,2.6
Les Têtes de l'emploi,20.0,1439.0,2.8,2.3
Telle Mère- Telle Fille,7.0,574.0,3.0,2.6
Dalida,30.0,1831.0,3.1,4.1
Un jour dans la vie de Billy Lynn,21.0,499.0,3.6,3.5
Hunger Games,21.0,35536.0,3.4,3.9
Infiltrator,23.0,2177.0,3.2,3.8
Ne le dis à personne,24.0,24782.0,3.3,3.9
Les Fantômes dIsmaël,31.0,1048.0,4.0,2.1
Mon Roi,32.0,4249.0,3.2,4.0
Les Evadés,5.0,35026.0,3.2,4.5
Cloud Atlas,29.0,12973.0,3.4,4.0
King Kong,30.0,35046.0,4.0,3.8
Retour chez ma mère,16.0,3582.0,2.9,3.2
Aurore,24.0,743.0,3.4,3.5
La Chute de Londres,6.0,3068.0,3.2,2.9
American Sniper,37.0,16495.0,3.8,4.1
Le Voyage de Chihiro,25.0,27969.0,4.8,4.3
Avengers,25.0,43043.0,4.0,4.2
La Pornographie,12.0,13.0,3.3,2.9
Apocalypse Now,18.0,22131.0,4.8,4.3
American History X,18.0,51577.0,2.8,4.4
Ah ! si j'étais riche,17.0,2353.0,3.2,2.5
Léon,5.0,55058.0,2.0,4.3
Mes Trésors,3.0,455.0,2.3,2.2
Camping 3,22.0,3623.0,2.5,2.2
Le Grand Bleu,5.0,149861.0,4.6,3.5
Le Roi Lion,8.0,50400.0,3.4,4.5
Pattaya,20.0,3276.0,3.0,2.2
24 Hour Party People,17.0,127.0,2.9,3.6
Chronicle,25.0,12471.0,3.4,3.5
Seul sur Mars,38.0,14899.0,3.4,4.1
Time Out,25.0,15456.0,2.7,3.5
Le Loup de Wall Street,24.0,25776.0,4.0,4.2
Cendrillon,28.0,3657.0,3.0,3.6
La Tortue rouge,29.0,1693.0,4.3,4.1
Snowboarder,6.0,407.0,2.8,1.5
Grimsby - Agent trop spécial,18.0,1454.0,2.8,3.3
La Reine des neiges,20.0,13544.0,3.5,4.2
Sous le même toit,21.0,1014.0,2.8,2.2
Baise-moi,19.0,1428.0,2.9,1.4
Pacific Rim,24.0,14225.0,3.4,3.7
Le Secret de Charlie,8.0,1735.0,1.4,3.6
Nous trois ou rien,24.0,4898.0,3.6,4.4
Dikkenek,15.0,7757.0,2.5,3.3
Papa ou maman,24.0,7314.0,3.6,3.3
Churchill,13.0,219.0,2.6,3.0
Le Secret de Terabithia,19.0,4964.0,3.2,3.2
Edge Of Tomorrow,28.0,15444.0,3.5,4.1
Retour à Montauk,15.0,105.0,2.9,3.1
